,HIPO
% Above Low,0.1602
% Held by Institutions,0.7256
52-Wk Range,['12.77 - 96.25']
Annual Dividend $,
Annual Dividend %,
Ask,14.98
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,
Bid,14.75
Bid Size,1000.0
Closing Price,14.81
Day Change $,1.03
Day Change %,0.0747
Day High,14.94
Day Low,13.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-14.61
Ex-dividend Date,No dividend
Historical Volatility,0.8200000000000001
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,340.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,13.78
Shares Outstanding,23.1M
Short Interest,0.0508
Today's Open,13.97
Volume,147437.0
Volume 10-day Avg,134102.0
Volume Past Day,(Average)
