,BKE
Price/Earnings (TTM),8.70394
Price/Sales (TTM),1.66581
Price/Book (MRQ),5.0643
Price/Cash Flow (TTM),10.85914
5yr Low,11.76
5yr High,57.1
5yr Avg Return,0.14338333333333333
EPS Growth 5yr,0.2051116
Revenue Growth 5yr,0.0583711
Dividend Growth 5yr,0.0522476
Short Int Current Month,2895433.0
Short Int Prev Month,2879016.0
Short Int Pct of Float,0.0967365
Days to Cover,8.23158
Float,30.15168
Shares Outstanding,50.09187
Institutions Holding Shares,308.0
% Held by Institutions,0.526954
FCF Growth 5yr,1.1673430532663134
