,BKE
% Below High,0.1457
% Held by Institutions,0.527
52-Wk Range,['26.50 - 51.55']
Annual Dividend $,1.4
Annual Dividend %,0.0318
Ask,49.11
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,41.6
Bid Size,100.0
Closing Price,44.04
Day Change $,0.87
Day Change %,0.0202
Day High,44.12
Day Low,43.19
Dividend Pay Date,2022-10-28 00:00:00
"EPS (TTM, GAAP)",5.06
Ex-dividend,2022-10-13 00:00:00
Ex-dividend Date,10/13/22
Historical Volatility,0.523
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",8.7
Prev Close,43.17
Shares Outstanding,50.1M
Short Interest,0.0967
Today's Open,43.25
Volume,201134.0
Volume 10-day Avg,435513.0
Volume Past Day,(Light)
