,BKE
Next Earnings Announcement,2023-03-10 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,1.4236453201970445
Growth 1yr High Est,1.4396135265700485
Growth 1yr Consensus Est,1.4316294233835465
Growth 2yr Low Est,0.6894649365212865
Growth 2yr High Est,0.7346582484335391
Growth 2yr Consensus Est,0.7120615924774127
Growth 5yr Low Est,0.34473246826064324
Growth 5yr High Est,0.36732912421676955
Growth 5yr Consensus Est,0.35603079623870637
Growth 5yr Actual/Est,0.2854696274418803
Growth 3yr Historic,0.29571006956643947
