,FITB
Price/Earnings (TTM),11.22576
Price/Sales (TTM),3.10975
Price/Book (MRQ),1.71257
Price/Cash Flow (TTM),8.51692
5yr Low,11.1
5yr High,50.64
5yr Avg Return,0.07243333333333335
EPS Growth 5yr,0.1442705
Revenue Growth 5yr,0.044429800000000005
Dividend Growth 5yr,0.1155067
Short Int Current Month,9721152.0
Short Int Prev Month,11778950.0
Short Int Pct of Float,0.0142348
Days to Cover,1.96249
Float,683.0684
Shares Outstanding,686.3962
Institutions Holding Shares,1100.0
% Held by Institutions,0.805428
FCF Growth 5yr,0.3280592371028695
