,FITB
% Above Low,0.17980000000000002
% Held by Institutions,0.8054000000000001
52-Wk Range,['30.92 - 50.64']
Annual Dividend $,1.32
Annual Dividend %,0.0362
Ask,36.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,36.31
Bid Size,100.0
Closing Price,36.48
Day Change $,0.15
Day Change %,0.0040999999999999995
Day High,36.67
Day Low,36.38
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",3.25
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.36600000000000005
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,25.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",11.23
Prev Close,36.33
Shares Outstanding,686.4M
Short Interest,0.014199999999999999
Today's Open,36.54
Volume,1016427.0
Volume 10-day Avg,4091865.0
Volume Past Day,(Light)
