,MAXR
% Above Low,0.3592
% Held by Institutions,0.7717
52-Wk Range,['17.51 - 40.48']
Annual Dividend $,0.04
Annual Dividend %,0.0017000000000000001
Ask,23.8
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,1.4
Bid,20.11
Bid Size,100.0
Change Since Close,-0.65| |(-2.73%)
Closing Price,23.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",0.54
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.6070000000000001
Last (size),4.0
Last (time),5:00p ET 11/25/22
Last Trade,23.15
Market Cap,1.8B
"P/E Ratio (TTM, GAAP)",44.01
Prev Close,23.8
Shares Outstanding,74.6M
Short Interest,0.046900000000000004
Today's Open,
Volume,11.0
Volume 10-day Avg,765398.0
Volume Past Day,(Light)
