,MAXR
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-1.5074626865671643
Growth 2yr High Est,8.999999999999998
Growth 2yr Consensus Est,3.746268656716417
Growth 5yr Low Est,-1.5074626865671643
Growth 5yr High Est,8.999999999999998
Growth 5yr Consensus Est,3.746268656716417
Growth 5yr Actual/Est,-2.541602886724838
Growth 3yr Historic,-0.41410256410256413
