,MAXR
Price/Earnings (TTM),44.01132
Price/Sales (TTM),1.0114
Price/Book (MRQ),1.22127
Price/Cash Flow (TTM),5.42307
5yr Low,3.83
5yr High,67.3
5yr Avg Return,0.09003333333333337
EPS Growth 5yr,-0.1953501
Revenue Growth 5yr,0.0258436
Dividend Growth 5yr,-0.48480110000000004
Short Int Current Month,3369838.0
Short Int Prev Month,3498144.0
Short Int Pct of Float,0.046936799999999994
Days to Cover,5.56651
Float,71.93014
Shares Outstanding,74.28233
Institutions Holding Shares,288.0
% Held by Institutions,0.7716639999999999
FCF Growth 5yr,1.1767547077525067
