,SLM
% Above Low,0.2208
% Held by Institutions,0.9968
52-Wk Range,['13.72 - 20.88']
Annual Dividend $,0.44
Annual Dividend %,0.025699999999999997
Ask,16.75
Ask Size,1300.0
B/A Ratio,1.2307692307692308
B/A Size,1600x1300
Beta,1.2
Bid,16.74
Bid Size,1600.0
Day Change $,-0.34
Day Change %,-0.0199
Day High,16.88
Day Low,16.7
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",3.07
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.423
Last (size),100.0
Last (time),2:36p ET 11/28/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",5.56
Prev Close,17.09
Price,16.75
Shares Outstanding,250.2M
Short Interest,0.0208
Today's Open,16.8
Volume Past Day,(Light)
