,SLM
Next Earnings Announcement,2023-01-25 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,-0.22580645161290325
Growth 1yr High Est,-0.2936288088642659
Growth 1yr Consensus Est,-0.2597176302385846
Growth 2yr Low Est,-0.2129032258064516
Growth 2yr High Est,-0.009559502471348569
Growth 2yr Consensus Est,-0.11123136413890009
Growth 5yr Low Est,0.27362968790978237
Growth 5yr High Est,0.473042829409487
Growth 5yr Consensus Est,0.37333625865963466
Growth 5yr Actual/Est,0.2823484572605538
Growth 3yr Historic,0.35041135553123126
