,SPWR
% Below High,0.2164
% Held by Institutions,0.8817
52-Wk Range,['12.78 - 29.92']
Annual Dividend $,
Annual Dividend %,
Ask,23.45
Ask Size,400.0
B/A Ratio,0.75
B/A Size,300x400
Beta,1.8
Bid,23.44
Bid Size,300.0
Day Change $,-0.685
Day Change %,-0.028399999999999998
Day High,24.06
Day Low,23.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.58
Ex-dividend Date,No dividend
Historical Volatility,0.777
Last (size),100.0
Last (time),3:08p ET 11/28/22
Market Cap,4.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",41.31
Prev Close,24.13
Price,23.45
Shares Outstanding,174.2M
Short Interest,0.145
Today's Open,23.68
Volume Past Day,(Light)
