,SPWR
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.5084745762711864
Growth 1yr High Est,-4.363636363636363
Growth 1yr Consensus Est,-2.936055469953775
Growth 2yr Low Est,-0.7042372881355932
Growth 2yr High Est,-0.9520884520884518
Growth 2yr Consensus Est,-0.8281628701120225
Growth 5yr Low Est,-0.3521186440677966
Growth 5yr High Est,-0.4760442260442259
Growth 5yr Consensus Est,-0.4140814350560113
Growth 5yr Actual/Est,-0.5918347942625325
Growth 3yr Historic,-1.0467980295566501
