,SPWR
Price/Earnings (TTM),41.30859
Price/Sales (TTM),2.58125
Price/Book (MRQ),7.53618
Price/Cash Flow (TTM),28.63876
5yr Low,4.03
5yr High,57.52
5yr Avg Return,0.3843666666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.1231072
Dividend Growth 5yr,
Short Int Current Month,12310413.0
Short Int Prev Month,12547872.0
Short Int Pct of Float,0.1449772
Days to Cover,2.16924
Float,172.8641
Shares Outstanding,174.1825
Institutions Holding Shares,403.0
% Held by Institutions,0.881725
FCF Growth 5yr,0.612384059941388
