,EVER
Price/Earnings (TTM),
Price/Sales (TTM),0.86181
Price/Book (MRQ),3.35819
Price/Cash Flow (TTM),
5yr Low,4.05
5yr High,63.44
5yr Avg Return,1.13328
EPS Growth 5yr,
Revenue Growth 5yr,0.2779625
Dividend Growth 5yr,
Short Int Current Month,1155388.0
Short Int Prev Month,1072671.0
Short Int Pct of Float,0.0650873
Days to Cover,3.31703
Float,17.84851
Shares Outstanding,32.1553
Institutions Holding Shares,148.0
% Held by Institutions,0.624976
FCF Growth 5yr,-0.15670897426083616
