,EVER
% Above Low,1.1415000000000002
% Held by Institutions,0.625
52-Wk Range,['5.23 - 17.59']
Annual Dividend $,
Annual Dividend %,
Ask,11.5
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.4
Bid,11.15
Bid Size,300.0
Closing Price,11.2
Day Change $,0.06
Day Change %,0.0054
Day High,11.33
Day Low,10.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.79
Ex-dividend Date,No dividend
Historical Volatility,0.72
Last (size),108.0
Last (time),1:00p ET 11/25/22
Market Cap,360.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,11.14
Shares Outstanding,32.2M
Short Interest,0.06509999999999999
Today's Open,10.99
Volume,182525.0
Volume 10-day Avg,257251.0
Volume Past Day,(Light)
