,AMBA
Price/Earnings (TTM),
Price/Sales (TTM),7.86186
Price/Book (MRQ),4.80719
Price/Cash Flow (TTM),
5yr Low,30.0
5yr High,227.59
5yr Avg Return,0.2377666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.0135249
Dividend Growth 5yr,
Short Int Current Month,856654.0
Short Int Prev Month,1027327.0
Short Int Pct of Float,0.023629699999999997
Days to Cover,1.81641
Float,36.25323
Shares Outstanding,38.41676
Institutions Holding Shares,343.0
% Held by Institutions,0.805372
FCF Growth 5yr,0.4276894262935125
