,AMBA
% Above Low,0.4761
% Held by Institutions,0.8054000000000001
52-Wk Range,['49.02 - 227.59']
Annual Dividend $,
Annual Dividend %,
Ask,72.88
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,71.86
Bid Size,100.0
Closing Price,72.36
Day Change $,0.19
Day Change %,0.0026
Day High,73.06
Day Low,71.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.13
Ex-dividend Date,No dividend
Historical Volatility,0.84
Last (size),2.0
Last (time),12:59p ET 11/25/22
Market Cap,2.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,72.17
Shares Outstanding,38.4M
Short Interest,0.0236
Today's Open,71.39
Volume,158458.0
Volume 10-day Avg,642345.0
Volume Past Day,(Light)
