,TWOU
Price/Earnings (TTM),
Price/Sales (TTM),0.6373
Price/Book (MRQ),1.24668
Price/Cash Flow (TTM),
5yr Low,4.7
5yr High,98.58
5yr Avg Return,-0.20935000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.35654110000000006
Dividend Growth 5yr,
Short Int Current Month,7421222.0
Short Int Prev Month,7142863.0
Short Int Pct of Float,0.0983954
Days to Cover,3.65766
Float,75.42463
Shares Outstanding,78.20489
Institutions Holding Shares,263.0
% Held by Institutions,0.904829
FCF Growth 5yr,1.083133971291866
