,TWOU
% Above Low,0.6106
% Held by Institutions,0.9048
52-Wk Range,['4.70 - 25.01']
Annual Dividend $,
Annual Dividend %,
Ask,8.23
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.0
Bid,7.26
Bid Size,100.0
Closing Price,7.57
Day Change $,-0.34
Day Change %,-0.043
Day High,8.03
Day Low,7.48
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.92
Ex-dividend Date,No dividend
Historical Volatility,1.161
Last (size),1.0
Last (time),3:59p ET 11/28/22
Market Cap,591.6M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,7.91
Shares Outstanding,78.2M
Short Interest,0.0984
Today's Open,7.76
Volume,642849.0
Volume 10-day Avg,1071359.0
Volume Past Day,(Light)
