,TTEC
% Above Low,0.16579999999999998
% Held by Institutions,0.3746
52-Wk Range,['39.50 - 95.19']
Annual Dividend $,1.04
Annual Dividend %,0.022099999999999998
Ask,46.14
Ask Size,500.0
B/A Ratio,3.2
B/A Size,1600x500
Beta,1.0
Bid,46.05
Bid Size,1600.0
Closing Price,46.05
Day Change $,-0.95
Day Change %,-0.0202
Day High,46.95
Day Low,45.9
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",2.31
Ex-dividend,2022-10-07 00:00:00
Ex-dividend Date,10/07/22
Historical Volatility,0.45799999999999996
Last (size),801.0
Last (time),3:59p ET 11/28/22
Market Cap,2.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",20.31
Prev Close,47.0
Shares Outstanding,47.2M
Short Interest,0.0263
Today's Open,46.51
Volume,77813.0
Volume 10-day Avg,143665.0
Volume Past Day,(Light)
