,TTEC
Price/Earnings (TTM),20.31168
Price/Sales (TTM),0.92559
Price/Book (MRQ),4.36982
Price/Cash Flow (TTM),9.62218
5yr Low,23.01
5yr High,113.37
5yr Avg Return,0.11016666666666666
EPS Growth 5yr,0.33350520000000006
Revenue Growth 5yr,0.1225421
Dividend Growth 5yr,0.1851037
Short Int Current Month,495462.0
Short Int Prev Month,483884.0
Short Int Pct of Float,0.0262644
Days to Cover,3.31357
Float,18.86441
Shares Outstanding,47.21951
Institutions Holding Shares,290.0
% Held by Institutions,0.374649
FCF Growth 5yr,-6.789073985932625
