,OSPN
% Below High,0.2611
% Held by Institutions,0.8248000000000001
52-Wk Range,['8.15 - 17.79']
Annual Dividend $,
Annual Dividend %,
Ask,13.26
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,13.12
Bid Size,100.0
Day Change $,-0.175
Day Change %,-0.0131
Day High,13.29
Day Low,13.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.63
Ex-dividend Date,No dividend
Historical Volatility,0.521
Last (size),1.0
Last (time),9:42a ET 11/28/22
Market Cap,521.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,13.32
Price,13.15
Shares Outstanding,39.7M
Short Interest,0.0344
Today's Open,13.29
Volume Past Day,(Light)
