,OSPN
Price/Earnings (TTM),
Price/Sales (TTM),2.3847
Price/Book (MRQ),2.7103
Price/Cash Flow (TTM),
5yr Low,8.15
5yr High,33.33
5yr Avg Return,0.015599999999999987
EPS Growth 5yr,
Revenue Growth 5yr,0.0220687
Dividend Growth 5yr,
Short Int Current Month,1202492.0
Short Int Prev Month,1140433.0
Short Int Pct of Float,0.034396
Days to Cover,2.44687
Float,34.96825
Shares Outstanding,39.6621
Institutions Holding Shares,224.0
% Held by Institutions,0.8248300000000001
FCF Growth 5yr,-2.006647850164478
