,IP
% Above Low,0.19649999999999998
% Held by Institutions,0.8482999999999999
52-Wk Range,['30.69 - 50.23']
Annual Dividend $,1.85
Annual Dividend %,0.0504
Ask,36.83
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,34.0
Bid Size,100.0
Closing Price,36.72
Day Change $,-0.09
Day Change %,-0.0024
Day High,36.91
Day Low,36.54
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",5.27
Ex-dividend,2022-11-14 00:00:00
Ex-dividend Date,11/14/22
Historical Volatility,0.295
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,13.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.96
Prev Close,36.81
Shares Outstanding,355.7M
Short Interest,0.0405
Today's Open,36.8
Volume,861797.0
Volume 10-day Avg,3323398.0
Volume Past Day,(Light)
