,IP
Price/Earnings (TTM),6.96372
Price/Sales (TTM),0.61856
Price/Book (MRQ),1.37623
Price/Cash Flow (TTM),4.85871
5yr Low,26.38
5yr High,66.94
5yr Avg Return,-0.053966666666666656
EPS Growth 5yr,0.0818152
Revenue Growth 5yr,-0.0013579
Dividend Growth 5yr,0.0232932
Short Int Current Month,14300040.0
Short Int Prev Month,14057884.0
Short Int Pct of Float,0.040532000000000006
Days to Cover,4.07971
Float,354.4241
Shares Outstanding,355.67
Institutions Holding Shares,1083.0
% Held by Institutions,0.848267
FCF Growth 5yr,0.034287954345481264
