,EVRI
% Above Low,0.09240000000000001
% Held by Institutions,0.884
52-Wk Range,['15.05 - 24.23']
Annual Dividend $,
Annual Dividend %,
Ask,19.3
Ask Size,500.0
B/A Ratio,1.4
B/A Size,700x500
Beta,2.4
Bid,12.39
Bid Size,700.0
Closing Price,16.44
Day Change $,0.23
Day Change %,0.014199999999999999
Day High,16.55
Day Low,16.24
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.83
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),51.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.99
Prev Close,16.21
Shares Outstanding,89.5M
Short Interest,0.0227
Today's Open,16.29
Volume,225344.0
Volume 10-day Avg,641197.0
Volume Past Day,(Light)
