,FNF
% Above Low,0.1795
% Held by Institutions,0.7967
52-Wk Range,['34.51 - 56.44']
Annual Dividend $,1.8
Annual Dividend %,0.044199999999999996
Ask,46.22
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,39.89
Bid Size,100.0
Closing Price,40.7
Day Change $,0.73
Day Change %,0.0183
Day High,40.74
Day Low,40.0
Dividend Pay Date,2022-09-30 00:00:00
"EPS (TTM, GAAP)",5.64
Ex-dividend,2022-09-15 00:00:00
Ex-dividend Date,09/15/22
Historical Volatility,0.312
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.21
Prev Close,39.97
Shares Outstanding,272.1M
Short Interest,0.0169
Today's Open,40.0
Volume,529087.0
Volume 10-day Avg,1407535.0
Volume Past Day,(Light)
