,FNF
Price/Earnings (TTM),7.21372
Price/Sales (TTM),0.80259
Price/Book (MRQ),1.94256
Price/Cash Flow (TTM),5.097
5yr Low,19.0
5yr High,56.44
5yr Avg Return,0.033350000000000005
EPS Growth 5yr,0.3838826
Revenue Growth 5yr,0.1660377
Dividend Growth 5yr,0.1213169
Short Int Current Month,4317664.0
Short Int Prev Month,3472517.0
Short Int Pct of Float,0.0168873
Days to Cover,2.89546
Float,255.8167
Shares Outstanding,272.132
Institutions Holding Shares,807.0
% Held by Institutions,0.7966540000000001
FCF Growth 5yr,0.48467629664161577
