,JBI
% Above Low,0.3258
% Held by Institutions,0.8793000000000001
52-Wk Range,['7.95 - 13.14']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,8.25
Bid Size,
Closing Price,10.54
Day Change $,0.13
Day Change %,0.0125
Day High,10.6
Day Low,10.41
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.61
Ex-dividend Date,No dividend
Historical Volatility,0.524
Last (size),51.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
"P/E Ratio (TTM, GAAP)",17.42
Prev Close,10.41
Shares Outstanding,146.6M
Short Interest,0.0275
Today's Open,10.48
Volume,130509.0
Volume 10-day Avg,587048.0
Volume Past Day,(Light)
