,JBI
Price/Earnings (TTM),17.4212
Price/Sales (TTM),1.58508
Price/Book (MRQ),4.5796
Price/Cash Flow (TTM),12.37019
5yr Low,7.95
5yr High,15.94
5yr Avg Return,0.025750000000000002
Short Int Current Month,2226559.0
Short Int Prev Month,2783891.0
Short Int Pct of Float,0.0275203
Days to Cover,3.44464
Float,134.9308
Shares Outstanding,146.6473
Institutions Holding Shares,160.0
% Held by Institutions,0.8793420000000001
FCF Growth 5yr,0.191097748103652
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
