,SLCA
% Above Low,0.43229999999999996
% Held by Institutions,0.83
52-Wk Range,['8.72 - 21.54']
Annual Dividend $,
Annual Dividend %,
Ask,12.5
Ask Size,500.0
B/A Ratio,0.8
B/A Size,400x500
Beta,2.7
Bid,12.47
Bid Size,400.0
Day Change $,-0.2
Day Change %,-0.0158
Day High,12.68
Day Low,12.2
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.34
Ex-dividend Date,No dividend
Historical Volatility,0.675
Last (size),100.0
Last (time),2:32p ET 11/28/22
Market Cap,945.6M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",37.35
Prev Close,12.69
Price,12.49
Shares Outstanding,75.7M
Short Interest,0.08
Today's Open,12.25
Volume Past Day,(Below Average)
