,SLCA
Price/Earnings (TTM),37.35209
Price/Sales (TTM),0.68768
Price/Book (MRQ),1.45389
Price/Cash Flow (TTM),5.55952
5yr Low,0.79
5yr High,38.7
5yr Avg Return,-0.06833333333333336
EPS Growth 5yr,
Revenue Growth 5yr,0.1455258
Dividend Growth 5yr,
Short Int Current Month,5911043.0
Short Int Prev Month,6211256.0
Short Int Pct of Float,0.0800066
Days to Cover,8.37532
Float,74.1965
Shares Outstanding,75.70888
Institutions Holding Shares,257.0
% Held by Institutions,0.830039
FCF Growth 5yr,3.1363198761350297
