,SLCA
Next Earnings Announcement,2023-02-24 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,-2.408450704225352
Growth 1yr High Est,-3.0
Growth 1yr Consensus Est,-2.704225352112676
Growth 2yr Low Est,-1.004225352112676
Growth 2yr High Est,-1.2008928571428572
Growth 2yr Consensus Est,-1.1025591046277667
Growth 5yr Low Est,-0.502112676056338
Growth 5yr High Est,-0.6004464285714286
Growth 5yr Consensus Est,-0.5512795523138834
Growth 5yr Actual/Est,-0.3639353885520924
Growth 3yr Historic,0.09854068396226412
