,ORA
Price/Earnings (TTM),77.10393
Price/Sales (TTM),7.10043
Price/Book (MRQ),2.76734
Price/Cash Flow (TTM),18.12707
5yr Low,45.79
5yr High,128.87
5yr Avg Return,0.07446666666666667
EPS Growth 5yr,-0.0905222
Revenue Growth 5yr,0.0001488
Dividend Growth 5yr,-0.0158811
Short Int Current Month,4650342.0
Short Int Prev Month,5228909.0
Short Int Pct of Float,0.08317859999999999
Days to Cover,9.33669
Float,55.91776
Shares Outstanding,56.04818
Institutions Holding Shares,407.0
% Held by Institutions,0.850304
FCF Growth 5yr,0.46650798525798526
