,ORA
% Below High,0.1159
% Held by Institutions,0.8503000000000001
52-Wk Range,['60.32 - 101.81']
Annual Dividend $,0.48
Annual Dividend %,0.0053
Ask,90.1
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.5
Bid,89.92
Bid Size,100.0
Day Change $,-1.16
Day Change %,-0.0127
Day High,90.09
Day Low,89.61
Dividend Pay Date,2022-11-30 00:00:00
"EPS (TTM, GAAP)",1.18
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.40299999999999997
Last (size),2.0
Last (time),9:35a ET 11/28/22
Market Cap,5.1B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",77.1
Prev Close,91.17
Price,90.01
Shares Outstanding,56.1M
Short Interest,0.0832
Today's Open,90.0
Volume Past Day,(Light)
