,ORA
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,-0.13245033112582782
Growth 1yr High Est,-0.29292929292929293
Growth 1yr Consensus Est,-0.21268981202756038
Growth 2yr Low Est,-0.035690814417875805
Growth 2yr High Est,0.11067821067821076
Growth 2yr Consensus Est,0.03749369813016748
Growth 5yr Low Est,-0.02379387627858387
Growth 5yr High Est,0.07378547378547384
Growth 5yr Consensus Est,0.024995798753444987
Growth 5yr Actual/Est,0.08078406079165362
Growth 3yr Historic,-0.006859692818596913
