,AMWD
% Below High,0.1953
% Held by Institutions,0.9093000000000001
52-Wk Range,['40.70 - 69.59']
Annual Dividend $,
Annual Dividend %,
Ask,56.0
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.8
Bid,49.5
Bid Size,300.0
Closing Price,56.0
Day Change $,-0.7
Day Change %,-0.0123
Day High,56.87
Day Low,55.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.47600000000000003
Last (size),8.0
Last (time),12:59p ET 11/25/22
Market Cap,928.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",66.71
Prev Close,56.7
Shares Outstanding,16.6M
Short Interest,0.0206
Today's Open,56.87
Volume,38095.0
Volume 10-day Avg,118260.0
Volume Past Day,(Light)
