,BLFS
% Above Low,1.0394
% Held by Institutions,0.9203
52-Wk Range,['10.40 - 44.79']
Annual Dividend $,
Annual Dividend %,
Ask,23.0
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.7
Bid,20.7
Bid Size,400.0
Closing Price,21.21
Day Change $,-0.34
Day Change %,-0.0158
Day High,21.55
Day Low,20.8
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.45
Ex-dividend Date,No dividend
Historical Volatility,0.9209999999999999
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,904.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,21.55
Shares Outstanding,42.8M
Short Interest,0.0761
Today's Open,21.43
Volume,150898.0
Volume 10-day Avg,412043.0
Volume Past Day,(Light)
