,BLFS
Price/Earnings (TTM),
Price/Sales (TTM),5.85941
Price/Book (MRQ),2.21873
Price/Cash Flow (TTM),
5yr Low,4.63
5yr High,60.67
5yr Avg Return,0.3942833333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.7067700000000001
Dividend Growth 5yr,
Short Int Current Month,3028959.0
Short Int Prev Month,2614532.0
Short Int Pct of Float,0.076105
Days to Cover,4.74902
Float,39.77895
Shares Outstanding,42.76599
Institutions Holding Shares,251.0
% Held by Institutions,0.920341
FCF Growth 5yr,0.2686609656595671
