,DO
% Below High,0.2184
% Held by Institutions,0.9369
52-Wk Range,['5.17 - 12.04']
Annual Dividend $,
Annual Dividend %,
Ask,10.16
Ask Size,800.0
B/A Ratio,0.375
B/A Size,300x800
Beta,
Bid,7.03
Bid Size,300.0
Closing Price,9.41
Day Change $,-0.09
Day Change %,-0.0095
Day High,9.64
Day Low,9.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.76
Ex-dividend Date,No dividend
Historical Volatility,0.6609999999999999
Last (size),32.0
Last (time),5:00p ET 11/25/22
Market Cap,955.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,9.5
Shares Outstanding,101.5M
Short Interest,0.045899999999999996
Today's Open,9.47
Volume,363499.0
Volume 10-day Avg,867210.0
Volume Past Day,(Light)
