,DO
Price/Earnings (TTM),
Price/Sales (TTM),1.13019
Price/Book (MRQ),1.30373
Price/Cash Flow (TTM),
5yr Low,5.17
5yr High,12.04
5yr Avg Return,-0.2158
EPS Growth 5yr,
Revenue Growth 5yr,-0.146353
Dividend Growth 5yr,
Short Int Current Month,4585570.0
Short Int Prev Month,5383487.0
Short Int Pct of Float,0.045876200000000006
Days to Cover,3.7832
Float,100.2831
Shares Outstanding,101.5244
Institutions Holding Shares,159.0
% Held by Institutions,0.936878
FCF Growth 5yr,0.828100877032185
