,AGL
Price/Earnings (TTM),
Price/Sales (TTM),2.76526
Price/Book (MRQ),6.31746
Price/Cash Flow (TTM),
5yr Low,14.36
5yr High,44.83
5yr Avg Return,-0.2144
Short Int Current Month,23188440.0
Short Int Prev Month,24027556.0
Short Int Pct of Float,0.1090257
Days to Cover,10.92686
Float,407.2436
Shares Outstanding,411.8548
Institutions Holding Shares,252.0
% Held by Institutions,1.0283499999999999
FCF Growth 5yr,0.6326047141264532
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
