,AGL
% Above Low,0.1602
% Held by Institutions,1.0284
52-Wk Range,['14.36 - 28.36']
Annual Dividend $,
Annual Dividend %,
Ask,29.97
Ask Size,700.0
B/A Ratio,0.14285714285714285
B/A Size,100x700
Beta,
Bid,15.75
Bid Size,100.0
Closing Price,16.66
Day Change $,0.23
Day Change %,0.013999999999999999
Day High,16.74
Day Low,16.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.682
Last (size),609.0
Last (time),5:00p ET 11/25/22
Market Cap,6.9B
"P/E Ratio (TTM, GAAP)",
Prev Close,16.43
Shares Outstanding,411.9M
Short Interest,0.109
Today's Open,16.34
Volume,575119.0
Volume 10-day Avg,1583895.0
Volume Past Day,(Light)
