,BAND
Price/Earnings (TTM),
Price/Sales (TTM),0.95776
Price/Book (MRQ),2.66903
Price/Cash Flow (TTM),37.12151
5yr Low,9.2
5yr High,198.61
5yr Avg Return,0.2647666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2640202
Dividend Growth 5yr,
Short Int Current Month,2459733.0
Short Int Prev Month,2477476.0
Short Int Pct of Float,0.1165287
Days to Cover,1.04925
Float,21.13002
Shares Outstanding,25.32444
Institutions Holding Shares,221.0
% Held by Institutions,0.742846
FCF Growth 5yr,-0.5521669427251106
