,BAND
% Above Low,1.2293
% Held by Institutions,0.7428
52-Wk Range,['9.20 - 75.40']
Annual Dividend $,
Annual Dividend %,
Ask,20.7
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.0
Bid,20.27
Bid Size,100.0
Closing Price,20.51
Day Change $,0.22
Day Change %,0.0108
Day High,20.6
Day Low,19.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.87
Ex-dividend Date,No dividend
Historical Volatility,1.03
Last (size),11.0
Last (time),1:00p ET 11/25/22
Market Cap,519.4M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,20.29
Shares Outstanding,25.3M
Short Interest,0.1165
Today's Open,20.15
Volume,323950.0
Volume 10-day Avg,887949.0
Volume Past Day,(Light)
