,BCOR
% Below High,0.1149
% Held by Institutions,0.9445
52-Wk Range,['15.10 - 27.50']
Annual Dividend $,
Annual Dividend %,
Ask,39.07
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,18.07
Bid Size,100.0
Closing Price,24.34
Day Change $,0.03
Day Change %,0.0012
Day High,24.59
Day Low,24.29
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.392
Last (size),23.0
Last (time),12:59p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",43.16
Prev Close,24.31
Shares Outstanding,47.9M
Short Interest,0.0147
Today's Open,24.39
Volume,72279.0
Volume 10-day Avg,264925.0
Volume Past Day,(Light)
