,BCOR
Price/Earnings (TTM),43.15756
Price/Sales (TTM),1.27452
Price/Book (MRQ),3.12931
Price/Cash Flow (TTM),15.62985
5yr Low,8.37
5yr High,41.35
5yr Avg Return,0.0637
EPS Growth 5yr,
Revenue Growth 5yr,0.141911
Dividend Growth 5yr,
Short Int Current Month,658014.0
Short Int Prev Month,895893.0
Short Int Pct of Float,0.0146811
Days to Cover,1.39449
Float,47.2444
Shares Outstanding,47.88424
Institutions Holding Shares,225.0
% Held by Institutions,0.944543
FCF Growth 5yr,1.94674597946426
