,BCOR
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.04651162790697683
Growth 1yr High Est,0.06395348837209314
Growth 1yr Consensus Est,0.05523255813953498
Growth 2yr Low Est,-0.07396640826873385
Growth 2yr High Est,0.2806106239674674
Growth 2yr Consensus Est,0.10332210784936677
Growth 5yr Low Est,-0.07396640826873385
Growth 5yr High Est,0.2806106239674674
Growth 5yr Consensus Est,0.10332210784936677
Growth 5yr Actual/Est,0.10034039539641312
Growth 3yr Historic,0.025558564658090727
