,EIG
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.21824104234527686
Growth 1yr High Est,-0.22535211267605626
Growth 1yr Consensus Est,-0.22179657751066656
Growth 2yr Low Est,-0.0049538545059718
Growth 2yr High Est,0.023687580025608224
Growth 2yr Consensus Est,0.009366862759818212
Growth 5yr Low Est,-0.0024769272529859
Growth 5yr High Est,0.011843790012804112
Growth 5yr Consensus Est,0.004683431379909106
Growth 5yr Actual/Est,0.009482706938273272
Growth 3yr Historic,-0.06668346774193548
