,EIG
% Below High,0.014499999999999999
% Held by Institutions,0.7974
52-Wk Range,['32.58 - 46.07']
Annual Dividend $,1.04
Annual Dividend %,0.0229
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.2
Bid,18.24
Bid Size,
Closing Price,45.4
Day Change $,0.06
Day Change %,0.0013
Day High,46.07
Day Low,45.38
Dividend Pay Date,2022-11-23 00:00:00
"EPS (TTM, GAAP)",1.99
Ex-dividend,2022-11-08 00:00:00
Ex-dividend Date,11/08/22
Historical Volatility,0.265
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.77
Prev Close,45.34
Shares Outstanding,27.2M
Short Interest,0.0101
Today's Open,45.75
Volume,57155.0
Volume 10-day Avg,88227.0
Volume Past Day,(Light)
