,PHR
Price/Earnings (TTM),
Price/Sales (TTM),5.31844
Price/Book (MRQ),3.74008
Price/Cash Flow (TTM),
5yr Low,13.19
5yr High,81.59
5yr Avg Return,0.09267500000000002
Short Int Current Month,1899570.0
Short Int Prev Month,2154661.0
Short Int Pct of Float,0.0380221
Days to Cover,6.51499
Float,50.4358
Shares Outstanding,52.53217
Institutions Holding Shares,257.0
% Held by Institutions,0.936423
FCF Growth 5yr,0.24630392995917635
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
