,PHR
Next Earnings Announcement,2022-12-08 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,5.365853658536586
Growth 1yr High Est,6.606060606060605
Growth 1yr Consensus Est,5.985957132298595
Growth 2yr Low Est,2.579478553406224
Growth 2yr High Est,3.1516358807195455
Growth 2yr Consensus Est,2.865557217062885
Growth 5yr Low Est,1.7196523689374825
Growth 5yr High Est,2.1010905871463637
Growth 5yr Consensus Est,1.910371478041923
Growth 5yr Actual/Est,1.6224029855844775
Growth 3yr Historic,1.5464285714285713
