,PHR
% Above Low,0.8613
% Held by Institutions,0.9364
52-Wk Range,['13.19 - 61.06']
Annual Dividend $,
Annual Dividend %,
Ask,24.57
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.7
Bid,24.44
Bid Size,200.0
Day Change $,-0.27
Day Change %,-0.0109
Day High,25.13
Day Low,24.52
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-3.53
Ex-dividend Date,No dividend
Historical Volatility,0.779
Last (size),1.0
Last (time),10:45a ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,24.82
Price,24.55
Shares Outstanding,52.5M
Short Interest,0.038
Today's Open,24.58
Volume Past Day,(Average)
