,GPOR
% Above Low,0.35590000000000005
% Held by Institutions,1.0679
52-Wk Range,['60.46 - 108.10']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,32.8
Bid Size,
Closing Price,81.98
Day Change $,0.47
Day Change %,0.0058
Day High,84.32
Day Low,81.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-6.59
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,1.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,81.51
Shares Outstanding,19.3M
Short Interest,0.056299999999999996
Today's Open,82.06
Volume,10025.0
Volume 10-day Avg,58825.0
Volume Past Day,(Light)
