,GPOR
Price/Earnings (TTM),
Price/Sales (TTM),2.29788
Price/Book (MRQ),8.8534
Price/Cash Flow (TTM),22.95202
5yr Low,58.71
5yr High,108.1
5yr Avg Return,0.1424
EPS Growth 5yr,
Revenue Growth 5yr,0.15950129999999998
Dividend Growth 5yr,
Short Int Current Month,1076754.0
Short Int Prev Month,1224429.0
Short Int Pct of Float,0.0563079
Days to Cover,10.39007
Float,19.1226
Shares Outstanding,19.27208
Institutions Holding Shares,165.0
% Held by Institutions,1.067863
FCF Growth 5yr,0.20909964398962652
