,SYY
Next Earnings Announcement,2023-01-31 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,0.2952380952380953
Growth 1yr High Est,0.18055555555555558
Growth 1yr Consensus Est,0.23789682539682544
Growth 2yr Low Est,0.21011904761904765
Growth 2yr High Est,0.19498366013071888
Growth 2yr Consensus Est,0.20255135387488327
Growth 5yr Low Est,0.30764573070607554
Growth 5yr High Est,0.2492775443510737
Growth 5yr Consensus Est,0.2784616375285746
Growth 5yr Actual/Est,0.34751111698996534
Growth 3yr Historic,0.24334058872305148
