,SYY
Price/Earnings (TTM),30.62291
Price/Sales (TTM),0.61439
Price/Book (MRQ),39.27892
Price/Cash Flow (TTM),19.71949
5yr Low,26.0
5yr High,91.53
5yr Avg Return,0.08543333333333335
EPS Growth 5yr,0.0488332
Revenue Growth 5yr,0.043887999999999996
Dividend Growth 5yr,0.079915
Short Int Current Month,12378251.0
Short Int Prev Month,12249496.0
Short Int Pct of Float,0.024470900000000004
Days to Cover,3.80345
Float,506.1827
Shares Outstanding,506.7675
Institutions Holding Shares,1700.0
% Held by Institutions,0.816825
FCF Growth 5yr,0.632026508862381
