,SYY
% Below High,0.060599999999999994
% Held by Institutions,0.8168000000000001
52-Wk Range,['68.05 - 91.53']
Annual Dividend $,1.96
Annual Dividend %,0.0227
Ask,85.99
Ask Size,600.0
B/A Ratio,0.3333333333333333
B/A Size,200x600
Beta,1.1
Bid,85.97
Bid Size,200.0
Day Change $,-0.47
Day Change %,-0.0054
Day High,86.88
Day Low,85.4
Dividend Pay Date,2023-01-27 00:00:00
"EPS (TTM, GAAP)",2.82
Ex-dividend,2023-01-05 00:00:00
Ex-dividend Date,01/05/23
Historical Volatility,0.30100000000000005
Last (size),100.0
Last (time),3:55p ET 11/28/22
Market Cap,43.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",30.62
Prev Close,86.45
Price,85.98
Shares Outstanding,506.8M
Short Interest,0.0245
Today's Open,85.89
Volume Past Day,(Average)
