,FICO
Price/Earnings (TTM),41.48369
Price/Sales (TTM),10.68228
Price/Book (MRQ),
Price/Cash Flow (TTM),37.34052
5yr Low,152.47
5yr High,623.61
5yr Avg Return,0.29793333333333333
EPS Growth 5yr,0.2894315
Revenue Growth 5yr,0.0811971
Dividend Growth 5yr,
Short Int Current Month,870165.0
Short Int Prev Month,929205.0
Short Int Pct of Float,0.0355339
Days to Cover,2.74625
Float,24.57144
Shares Outstanding,24.97562
Institutions Holding Shares,747.0
% Held by Institutions,0.891139
FCF Growth 5yr,0.613457997923889
