,FICO
% Below High,0.0554
% Held by Institutions,0.8911
52-Wk Range,['340.48 - 623.61']
Annual Dividend $,
Annual Dividend %,
Ask,590.19
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,480.0
Bid Size,100.0
Closing Price,589.07
Day Change $,9.78
Day Change %,0.0169
Day High,589.97
Day Low,570.81
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.2
Ex-dividend Date,No dividend
Historical Volatility,0.485
Last (size),6.0
Last (time),5:00p ET 11/25/22
Market Cap,14.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",41.48
Prev Close,579.29
Shares Outstanding,25.0M
Short Interest,0.0355
Today's Open,576.59
Volume,84283.0
Volume 10-day Avg,308500.0
Volume Past Day,(Light)
