,FICO
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,0.2026022304832713
Growth 1yr High Est,0.16000000000000014
Growth 1yr Consensus Est,0.18130111524163572
Growth 2yr Low Est,0.15771533471613342
Growth 2yr High Est,0.18295566502463056
Growth 2yr Consensus Est,0.170335499870382
Growth 5yr Low Est,0.15771533471613342
Growth 5yr High Est,0.18295566502463056
Growth 5yr Consensus Est,0.170335499870382
Growth 5yr Actual/Est,0.2402835365043816
Growth 3yr Historic,0.16416509620329373
