,MNKD
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,0.24137931034482762
Growth 1yr High Est,0.12500000000000022
Growth 1yr Consensus Est,0.18318965517241392
Growth 2yr Low Est,-0.0876436781609195
Growth 2yr High Est,-0.6041666666666665
Growth 2yr Consensus Est,-0.34590517241379304
Growth 5yr Low Est,-0.04382183908045975
Growth 5yr High Est,-0.30208333333333326
Growth 5yr Consensus Est,-0.17295258620689652
Growth 5yr Actual/Est,-0.07887731481481486
Growth 3yr Historic,0.08518518518518514
