,MNKD
% Below High,0.07200000000000001
% Held by Institutions,0.48
52-Wk Range,['2.49 - 4.86']
Annual Dividend $,
Annual Dividend %,
Ask,4.68
Ask Size,500.0
Ask close,5.53
B/A Ratio,0.6
B/A Size,300x500
Beta,1.7
Bid,2.77
Bid Size,300.0
Bid close,3.42
Change Since Close,0.00| |(0.00%)
Closing Price,4.51
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.39
Ex-dividend Date,No dividend
Historical Volatility,0.71
Last (size),3.0
Last (time),1:00p ET 11/25/22
Last Trade,4.51
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,4.51
Shares Outstanding,263.2M
Short Interest,0.1419
Today's Open,
Volume,3.0
Volume 10-day Avg,4389188.0
Volume Past Day,(Light)
